,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,world.execute (me) ;,Miracle Milk,Mili,2016-10-12,211912,52,0.00453,0.522,0.817,0.393,129.971,0.548
1,Rightfully (TV Animation Goblin Slayer opening),Rightfully (TV Animation Goblin Slayer opening),Mili,2018-11-18,213333,54,0.00423,0.39,0.724,0.102,181.91,0.301
2,"In Hell We Live, Lament","In Hell We Live, Lament",Mili,2021-12-21,223807,48,0.228,0.45,0.558,0.288,124.818,0.146
3,Mortal With You,Mortal With You,Mili,2022-07-06,235773,50,0.402,0.381,0.525,0.0946,183.635,0.232
4,String Theocracy,To Kill a Living Book -for Library Of Ruina-,Mili,2021-10-29,174170,49,0.174,0.655,0.78,0.332,116.027,0.659
5,Main Theme,ENDER LILIES: Quietus of the Knights Original Soundtrack,Binary Haze Interactive,2021-06-22,64821,43,0.986,0.621,0.0708,0.0905,111.989,0.388
6,Paper Bouquet,Paper Bouquet,Mili,2022-04-02,208559,46,0.0114,0.563,0.867,0.21,106.034,0.665
7,Ga1ahad and Scientific Witchery,Miracle Milk,Mili,2016-10-12,221378,43,0.0282,0.515,0.875,0.218,165.991,0.497
8,Children of the City,To Kill a Living Book -for Library Of Ruina-,Mili,2021-10-29,234093,43,0.0187,0.684,0.648,0.131,119.019,0.446
9,Harmonious,ENDER LILIES: Quietus of the Knights Original Soundtrack,Binary Haze Interactive,2021-06-22,188372,40,0.988,0.534,0.0354,0.0886,171.95,0.282
10,Within (Goblin Slayer Episode Twelve inserted song),Within (Goblin Slayer Episode Twelve inserted song),Mili,2018-12-23,166184,44,0.566,0.647,0.409,0.286,113.906,0.11
11,sustain++;,Intrauterine Education,Mili,2020-06-10,361000,44,0.00504,0.598,0.639,0.105,125.997,0.321
12,Gone Angels,To Kill a Living Book -for Library Of Ruina-,Mili,2021-10-29,144926,40,0.808,0.588,0.32,0.105,64.627,0.478
13,Bulbel,ENDER LILIES: Quietus of the Knights Original Soundtrack,Binary Haze Interactive,2021-06-22,206000,39,0.837,0.399,0.227,0.108,81.99,0.118
14,Summoning 101,Millennium Mother,Mili,2018-04-25,171480,39,0.0327,0.624,0.858,0.136,93.038,0.823
15,Iron Lotus,Iron Lotus,Mili,2021-02-27,237850,39,0.29,0.573,0.728,0.377,137.942,0.361
16,"Salt, Pepper, Birds, and the Thought Police",To Kill a Living Book -for Library Of Ruina-,Mili,2021-10-29,244077,40,0.661,0.62,0.601,0.0782,77.96,0.615
17,Prologue,ENDER LILIES: Quietus of the Knights Original Soundtrack,Binary Haze Interactive,2021-06-22,58407,36,0.982,0.646,0.0393,0.126,112.954,0.0513
18,RTRT,Miracle Milk,Mili,2016-10-12,215023,40,0.0202,0.647,0.798,0.1,131.981,0.446
19,Birthday Kid,Birthday Kid,Mili,2019-10-24,211779,38,0.738,0.559,0.568,0.129,75.029,0.477
