,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Revenge Of The Dreamers III,Dreamville,"['Dreamville', 'Bas', 'JID']",2019-07-05,217866,67,0.517,0.642,0.647,0.0649,120.749,0.664
1,Dragonball Durag - Remix,Dragonball Durag (Remix),Thundercat,"['Thundercat', 'Smino', 'Guapdad 4000']",2020-08-25,221098,54,0.614,0.626,0.597,0.122,80.985,0.578
2,Fearless,Fearless,Guapdad 4000,"['Guapdad 4000', 'Valentino Khan']",2022-01-26,140000,52,0.000446,0.696,0.978,0.105,107.971,0.762
3,BALI,BALI,Rich Brian,"['Rich Brian', 'Guapdad 4000']",2020-04-10,199384,51,0.0107,0.855,0.645,0.226,129.999,0.654
4,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Revenge Of The Dreamers III,Dreamville,"['Dreamville', 'JID', 'EARTHGANG']",2019-07-05,123413,56,0.0706,0.8,0.826,0.181,148.021,0.241
5,Poppin Pills - Remix,Poppin Pills (Remix),Jace,"['Jace', 'Guapdad 4000', 'Harlem Richard$']",2022-05-20,112300,34,0.303,0.64,0.704,0.217,160.048,0.563
6,Pose (feat. Wiz Khalifa & Curren$y),Pose (feat. Wiz Khalifa & Curren$y),Guapdad 4000,"['Guapdad 4000', 'Wiz Khalifa', 'Curren$y']",2022-06-10,204528,46,0.055,0.76,0.612,0.0375,187.934,0.662
7,TOO BAD,TOO BAD,Kembe X,"['Kembe X', 'Guapdad 4000']",2020-12-11,189380,44,0.118,0.814,0.599,0.126,77.54,0.686
8,"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)",Revenge Of The Dreamers III,Dreamville,"['Dreamville', 'Bas', 'Cozz']",2019-07-05,174360,48,0.561,0.779,0.597,0.131,124.056,0.432
9,Black Iverson,Black Iverson,Guapdad 4000,['Guapdad 4000'],2022-04-29,185924,45,0.0248,0.742,0.523,0.0905,155.547,0.283
