,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,Tequila Sunrise (feat. AUGUST 08 & GoldLink),Head In The Clouds II,88rising,"['88rising', 'Jackson Wang', 'Higher Brothers']",2019-10-11,243332,52,0.0313,0.8,0.545,0.0929,99.981,0.458
1,R&B All Night,Mr. Enjoy Da Money,KnowKnow,"['KnowKnow', 'Higher Brothers']",2019-12-12,233846,49,0.00638,0.761,0.545,0.0456,78.034,0.799
2,"Midsummer Madness 20 (feat. Joji, Rich Brian, Higher Brothers & AUGUST 08)","Midsummer Madness 20 (feat. Joji, Rich Brian, Higher Brothers & AUGUST 08)",88rising,"['88rising', 'Danny Ocean', 'AUGUST 08']",2020-08-14,246947,50,0.498,0.726,0.789,0.0907,94.987,0.56
3,Lover Boy 88,Head In The Clouds,88rising,"['88rising', 'Phum Viphurit', 'Higher Brothers']",2018-07-20,233033,49,0.349,0.734,0.699,0.261,109.979,0.5
4,Crush On You (feat. step.jad),Prince Charming,Masiwei,"['Masiwei', 'Higher Brothers', 'step.jad']",2020-02-28,229064,46,0.642,0.832,0.662,0.107,96.029,0.687
5,Mr. Bentley,Mr. Enjoy Da Money,KnowKnow,"['KnowKnow', 'Higher Brothers']",2019-12-12,159183,45,0.39,0.891,0.746,0.0946,97.996,0.493
6,2 The Face,Head In The Clouds II,88rising,"['88rising', 'Rich Brian', 'Higher Brothers']",2019-10-11,151531,42,0.168,0.649,0.684,0.141,171.994,0.342
7,Lucy Liu (feat. Bohan Phoenix),PSYLIFE.25,Psy.P,"['Psy.P', 'Higher Brothers', 'Bohan Phoenix']",2020-05-27,206400,41,0.00459,0.829,0.643,0.257,100.043,0.0402
8,Amsterdam (feat. KnowKnow),Prince Charming,Masiwei,"['Masiwei', 'Higher Brothers', 'KnowKnow']",2020-02-28,187058,39,0.244,0.803,0.672,0.107,136.043,0.673
9,Face Power (feat. Jackson Wang),Mr. Enjoy Da Money,KnowKnow,"['KnowKnow', 'Higher Brothers', 'Jackson Wang']",2019-12-12,178983,38,0.305,0.793,0.737,0.0945,88.493,0.172
10,Storm,Type-3 - EP,Higher Brothers,"['Higher Brothers', 'Harikiri']",2018-02-27,158785,37,0.122,0.759,0.627,0.406,140.009,0.317
11,No More (feat. NIKI),Five Stars,Higher Brothers,"['Higher Brothers', 'NIKI']",2019-02-22,229859,38,0.436,0.75,0.651,0.0776,142.118,0.61
12,Prince Charming,Prince Charming,Masiwei,"['Masiwei', 'Higher Brothers']",2020-02-28,208235,38,0.137,0.889,0.84,0.128,144.533,0.922
13,I Love You 3000 III,Mr. Enjoy Da Money,KnowKnow,"['KnowKnow', 'Higher Brothers']",2019-12-12,210666,36,0.859,0.467,0.482,0.333,180.205,0.351
14,Made In China,Made In China,Higher Brothers,"['Higher Brothers', 'DJ Snake']",2018-04-13,171733,43,0.00397,0.79,0.779,0.159,150.115,0.228
15,Flexing So Hard,Five Stars,Higher Brothers,['Higher Brothers'],2019-02-22,175384,37,0.00256,0.698,0.741,0.326,156.096,0.426
16,Empire,Empire,Higher Brothers,['Higher Brothers'],2020-11-09,207761,36,0.214,0.797,0.767,0.0713,133.864,0.537
17,Love Song 4 Me,Mr. Enjoy Da Money,KnowKnow,"['KnowKnow', 'Higher Brothers']",2019-12-12,168000,32,0.0879,0.808,0.645,0.103,160.093,0.644
18,暴风雨,Type-3,Higher Brothers,"['Higher Brothers', 'Harikiri']",2018-02-27,158785,28,0.122,0.759,0.627,0.406,140.009,0.317
19,One Punch Man (feat. Ski Mask The Slump God & Denzel Curry),Five Stars,Higher Brothers,"['Higher Brothers', 'Denzel Curry', 'Ski Mask The Slump God']",2019-02-22,200651,40,0.0855,0.906,0.726,0.127,132.004,0.354
20,Flo Rida,Flo Rida,Higher Brothers,"['Higher Brothers', 'Ski Mask The Slump God']",2017-11-16,208048,39,0.109,0.9,0.649,0.0825,129.985,0.442
21,Nomadic (feat. Joji),Nomadic (feat. Joji),Higher Brothers,"['Higher Brothers', 'Joji']",2017-07-13,244800,38,0.0501,0.84,0.536,0.73,75.013,0.56
22,"Midsummer Madness (feat. Joji, Rich Brian, Higher Brothers & AUGUST 08) - KRANE Remix","Midsummer Madness (feat. Joji, Rich Brian, Higher Brothers & AUGUST 08) [KRANE Remix]",88rising,"['88rising', 'AUGUST 08', 'Higher Brothers']",2018-09-25,238888,33,0.499,0.637,0.644,0.0772,107.865,0.207
23,Red Rubies,Head In The Clouds,88rising,"['88rising', 'Rich Brian', 'Yung Bans']",2018-07-20,243656,37,0.512,0.856,0.382,0.106,135.07,0.288
24,WeChat,Black Cab,Higher Brothers,"['Higher Brothers', 'Keith Ape']",2017-05-31,256803,37,0.148,0.754,0.675,0.0346,145.815,0.526
25,Gong Xi Fa Cai,Five Stars,Higher Brothers,['Higher Brothers'],2019-02-22,173684,35,0.0121,0.862,0.618,0.108,160.001,0.234
26,Private Party (feat. KnowKnow),Prince Charming,Masiwei,"['Masiwei', 'Higher Brothers', 'KnowKnow']",2020-02-28,182025,28,0.617,0.823,0.889,0.0886,117.073,0.35
27,Let It Go,Head In The Clouds,88rising,"['88rising', 'Higher Brothers', 'BlocBoy JB']",2018-07-20,169637,37,0.0267,0.862,0.814,0.163,110.035,0.814
28,Role Playing Game,Mr. Enjoy Da Money,KnowKnow,"['KnowKnow', 'Higher Brothers']",2019-12-12,196441,29,0.149,0.779,0.803,0.0994,168.616,0.454
29,Friends & Foes (feat. Snoop Dogg),Friends & Foes (feat. Snoop Dogg),Higher Brothers,"['Higher Brothers', 'Snoop Dogg']",2019-08-05,186947,32,0.238,0.925,0.619,0.104,95.001,0.0854
30,Isabellae,Black Cab,Higher Brothers,['Higher Brothers'],2017-05-31,156932,32,0.0761,0.709,0.799,0.119,178.007,0.567
31,16 Hours,Five Stars,Higher Brothers,['Higher Brothers'],2019-02-22,172355,35,0.118,0.602,0.901,0.296,148.073,0.756
32,Disrespectin,Head In The Clouds,88rising,"['88rising', 'Rich Brian', 'Higher Brothers']",2018-07-20,230173,34,0.161,0.656,0.632,0.0866,133.819,0.114
33,Go,Prince Charming,Masiwei,"['Masiwei', 'Higher Brothers']",2020-02-28,180000,24,0.545,0.747,0.776,0.117,172.027,0.666
34,Hold Me Down,Head In The Clouds II,88rising,"['88rising', 'Higher Brothers']",2019-10-11,223366,29,0.0239,0.85,0.741,0.245,100.975,0.809
35,Diamond,Five Stars,Higher Brothers,['Higher Brothers'],2019-02-22,192001,29,0.0557,0.836,0.66,0.0975,95.041,0.752
36,Swimming Pool,Head In The Clouds,88rising,"['88rising', 'Higher Brothers', '03 Greedo']",2018-07-20,272448,34,0.349,0.774,0.63,0.311,140.033,0.77
37,711,Black Cab,Higher Brothers,['Higher Brothers'],2017-05-31,247273,29,0.386,0.683,0.763,0.152,136.968,0.663
38,Nothing Wrong,Type-3 - EP,Higher Brothers,"['Higher Brothers', 'Harikiri']",2018-02-27,160645,28,0.0599,0.825,0.67,0.139,124.025,0.646
39,Chengdu,Prince Charming,Masiwei,"['Masiwei', 'Higher Brothers']",2020-02-28,205754,25,0.125,0.847,0.64,0.109,140.078,0.66
40,Nothing Wrong (feat. Goldlink),Head In The Clouds,88rising,"['88rising', 'Higher Brothers', 'Harikiri']",2018-07-20,192401,32,0.258,0.806,0.905,0.324,124.001,0.524
41,Young Master,Black Cab,Higher Brothers,['Higher Brothers'],2017-05-31,218069,30,0.084,0.841,0.755,0.0741,127.024,0.644
42,"Talk Less and Feel More (feat. AUGUST 08, Barney Bones & Psy.P)",Old Master,Melo,"['Melo', 'Higher Brothers', 'AUGUST 08']",2020-04-20,224000,25,0.00547,0.807,0.733,0.144,110.13,0.36
43,NO HOOK,JALA (@1580518553),Bohan Phoenix,"['Bohan Phoenix', 'Higher Brothers']",2017-01-27,214000,25,0.161,0.479,0.74,0.213,177.023,0.459
44,Lose Control (feat. KnowKnow),PSYLIFE.25,Psy.P,"['Psy.P', 'Higher Brothers', 'KnowKnow']",2020-05-26,183272,18,0.0107,0.811,0.746,0.122,110.011,0.222
45,Wudidong,Black Cab,Higher Brothers,['Higher Brothers'],2017-05-31,244773,26,0.099,0.812,0.795,0.328,119.944,0.616
46,5:30 A.M.,Type-3 - EP,Higher Brothers,"['Higher Brothers', 'Harikiri']",2018-02-27,157674,22,0.607,0.824,0.581,0.0804,171.926,0.463
47,Room Service,Journey to the West - EP,Higher Brothers,['Higher Brothers'],2018-01-17,175099,24,0.213,0.797,0.785,0.257,135.064,0.736
48,King of the Jungle (feat. Melo),PSYLIFE.25,Psy.P,"['Psy.P', 'Higher Brothers', 'Melo']",2020-05-26,207170,17,0.0888,0.877,0.843,0.126,94.001,0.551
49,Yahh,Black Cab,Higher Brothers,"['Higher Brothers', 'J.Mag']",2017-05-31,280513,27,0.0212,0.823,0.752,0.119,130.036,0.384
