,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,Drive You Home,Drive You Home,Jackson Wang,"['Jackson Wang', 'Internet Money']",2021-07-29,216163,58,0.0911,0.653,0.694,0.111,96.024,0.226
1,LMLY,LMLY,Jackson Wang,['Jackson Wang'],2021-03-26,209998,65,0.0523,0.727,0.736,0.119,139.929,0.717
2,Dopamine,MAGIC MAN,Jackson Wang,['Jackson Wang'],2022-09-09,191826,58,0.124,0.546,0.588,0.266,114.998,0.214
3,I Love You 3000 II,Head In The Clouds II,88rising,"['88rising', 'Stephanie Poetri', 'Jackson Wang']",2019-10-11,209642,63,0.853,0.435,0.338,0.412,179.727,0.354
4,Blow,Blow,Jackson Wang,['Jackson Wang'],2022-03-31,163933,62,0.00437,0.535,0.586,0.0745,124.853,0.823
5,Cruel,Cruel,Jackson Wang,['Jackson Wang'],2022-07-29,195020,62,0.00137,0.588,0.494,0.156,78.99,0.539
6,Blue,MAGIC MAN,Jackson Wang,['Jackson Wang'],2022-09-09,159927,58,0.422,0.581,0.495,0.126,140.175,0.391
7,100 Ways,100 Ways,Jackson Wang,['Jackson Wang'],2020-03-20,168626,62,0.325,0.801,0.783,0.285,109.955,0.613
8,Walking (feat. Swae Lee & Major Lazer),Head In The Clouds II,88rising,"['88rising', 'Joji', 'Jackson Wang']",2019-10-11,167080,61,0.0123,0.701,0.663,0.131,100.001,0.334
9,Pretty Please,Pretty Please,Jackson Wang,"['Jackson Wang', 'Galantis']",2020-09-04,145792,57,0.0397,0.686,0.867,0.396,126.068,0.691
10,Go Ghost,MAGIC MAN,Jackson Wang,['Jackson Wang'],2022-09-09,140833,56,0.0368,0.733,0.671,0.0848,95.007,0.439
11,Mind Games (feat. Jackson Wang),Mind Games (feat. Jackson Wang),88rising,"['88rising', 'MILLI', 'Jackson Wang']",2022-08-19,193251,54,0.0465,0.652,0.47,0.229,100.052,0.32
12,過 (Should've Let Go),過 (Should've Let Go),Jackson Wang,"['Jackson Wang', 'JJ Lin']",2020-12-17,203786,52,0.581,0.691,0.481,0.0898,127.936,0.149
13,California (feat. Jackson Wang & Warren Hue) - [Remix],California (feat. Jackson Wang & Warren Hue) [Remix],88rising,"['88rising', 'Rich Brian', 'NIKI']",2021-07-15,273927,52,0.606,0.773,0.629,0.189,141.958,0.589
14,Drive It Like You Stole It,MAGIC MAN,Jackson Wang,['Jackson Wang'],2022-09-09,180148,55,0.0354,0.827,0.696,0.093,110.93,0.526
15,Tequila Sunrise (feat. AUGUST 08 & GoldLink),Head In The Clouds II,88rising,"['88rising', 'Jackson Wang', 'Higher Brothers']",2019-10-11,243332,52,0.0313,0.8,0.545,0.0929,99.981,0.458
16,TITANIC (feat. Rich Brian),MIRRORS,Jackson Wang,"['Jackson Wang', 'Rich Brian']",2019-10-25,141146,54,0.0463,0.894,0.748,0.057,99.983,0.697
17,MAGNETIC (Feat. Jackson Wang),PIECES by RAIN,Rain,"['Rain', 'Jackson Wang']",2021-03-03,158840,48,0.132,0.826,0.657,0.277,159.986,0.898
18,Champagne Cool,MAGIC MAN,Jackson Wang,['Jackson Wang'],2022-09-09,162341,56,0.0423,0.506,0.84,0.218,179.774,0.584
19,Vibes,LOST & FOUND,Jackson Wang,['Jackson Wang'],2022-03-07,159080,44,0.55,0.653,0.563,0.119,162.015,0.452
20,BULLET TO THE HEART,MIRRORS,Jackson Wang,['Jackson Wang'],2019-10-25,145720,51,0.0728,0.789,0.452,0.0868,159.835,0.675
21,Papillon,Papillon,Jackson Wang,['Jackson Wang'],2017-08-26,195036,51,0.0102,0.822,0.684,0.0986,170.157,0.502
22,Come Alive,MAGIC MAN,Jackson Wang,['Jackson Wang'],2022-09-09,172428,54,0.00288,0.59,0.689,0.0627,93.004,0.667
23,M.I.A (feat. Jackson Wang),Wallflower,Afgan,"['Afgan', 'Jackson Wang']",2021-04-09,178798,46,0.256,0.723,0.458,0.0879,113.954,0.357
24,Dawn of us,Dawn of us,Jackson Wang,['Jackson Wang'],2018-04-20,179833,47,0.387,0.834,0.588,0.112,141.944,0.489
25,U & I,"The Package (Original Television Soundtrack), Pt. 4",JAY B,"['JAY B', 'Jackson Wang']",2017-10-27,213897,44,0.371,0.797,0.471,0.109,99.949,0.574
26,爱 - I Love You 3000 Chinese Version,MIRRORS,Jackson Wang,['Jackson Wang'],2019-10-25,210160,46,0.908,0.494,0.374,0.409,180.04,0.221
27,Oxygen,Oxygen,Jackson Wang,['Jackson Wang'],2019-04-12,158709,49,0.1,0.729,0.718,0.24,123.892,0.412
28,Dead,LOST & FOUND,Jackson Wang,['Jackson Wang'],2022-03-07,139853,42,0.373,0.72,0.552,0.111,90.045,0.622
29,王嘉爾,王嘉爾,Jackson Wang,['Jackson Wang'],2022-01-11,273133,46,0.209,0.763,0.648,0.167,100.057,0.476
30,ON THE ROCKS,MIRRORS,Jackson Wang,['Jackson Wang'],2019-10-25,188760,45,0.00656,0.676,0.693,0.127,148.022,0.397
31,OKAY,OKAY,Jackson Wang,['Jackson Wang'],2017-11-30,192729,47,0.33,0.905,0.684,0.0554,120.025,0.542
32,In My Bed,LOST & FOUND,Jackson Wang,['Jackson Wang'],2022-03-07,138626,42,0.157,0.792,0.559,0.188,84.016,0.434
33,一個人 (Alone),一個人 (Alone),Jackson Wang,['Jackson Wang'],2021-01-30,185546,44,0.187,0.654,0.395,0.124,75.007,0.114
34,UNLESS I'M WITH YOU,MIRRORS,Jackson Wang,['Jackson Wang'],2019-10-25,147026,43,0.623,0.714,0.501,0.11,159.899,0.422
