,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,Glimpse of Us,Glimpse of Us,Joji,['Joji'],2022-06-10,233456,93,0.891,0.44,0.317,0.141,169.914,0.268
1,SLOW DANCING IN THE DARK,BALLADS 1,Joji,['Joji'],2018-10-26,209273,84,0.544,0.515,0.479,0.191,88.964,0.284
2,YUKON (INTERLUDE),YUKON (INTERLUDE),Joji,['Joji'],2022-08-26,141093,76,0.383,0.736,0.71,0.395,82.482,0.0728
3,worldstar money (interlude),In Tongues (Deluxe),Joji,['Joji'],2018-02-14,126312,78,0.964,0.577,0.387,0.208,146.565,0.459
4,Sanctuary,Nectar,Joji,['Joji'],2020-09-24,180018,75,0.387,0.552,0.638,0.374,167.834,0.332
5,YEAH RIGHT,BALLADS 1,Joji,['Joji'],2018-10-26,174357,79,0.619,0.672,0.588,0.0992,169.033,0.204
6,Daylight,Daylight,Joji,"['Joji', 'Diplo']",2020-08-06,163905,71,0.00488,0.528,0.749,0.0949,163.944,0.729
7,Will He,In Tongues (Deluxe),Joji,['Joji'],2018-02-14,202102,73,0.836,0.618,0.217,0.538,116.014,0.0872
8,Like You Do,Nectar,Joji,['Joji'],2020-09-25,240294,72,0.953,0.582,0.199,0.135,66.454,0.0783
9,CAN'T GET OVER YOU (feat. Clams Casino),BALLADS 1,Joji,"['Joji', 'Clams Casino']",2018-10-26,107076,70,0.684,0.9,0.316,0.0853,129.914,0.844
10,Midsummer Madness,Head In The Clouds,88rising,"['88rising', 'Joji', 'Rich Brian']",2018-07-20,280841,69,0.359,0.409,0.678,0.167,89.968,0.168
11,Demons,In Tongues (Deluxe),Joji,['Joji'],2018-02-14,176803,67,0.416,0.458,0.378,0.0966,168.232,0.037
12,Run,Nectar,Joji,['Joji'],2020-09-25,195000,69,0.0427,0.448,0.72,0.614,157.919,0.361
13,ATTENTION,BALLADS 1,Joji,['Joji'],2018-10-26,128888,68,0.895,0.787,0.312,0.115,119.899,0.425
14,Head In The Clouds,Head In The Clouds,88rising,"['88rising', 'Joji']",2018-07-20,178022,62,0.281,0.516,0.456,0.0847,145.843,0.238
15,I Don't Wanna Waste My Time,In Tongues (Deluxe),Joji,['Joji'],2018-02-14,164430,66,0.761,0.403,0.234,0.123,144.226,0.13
16,Ew,Nectar,Joji,['Joji'],2020-09-25,207710,69,0.804,0.48,0.373,0.12,114.078,0.0376
17,TEST DRIVE,BALLADS 1,Joji,['Joji'],2018-10-26,179423,69,0.71,0.646,0.648,0.108,75.004,0.466
18,Walking (feat. Swae Lee & Major Lazer),Head In The Clouds II,88rising,"['88rising', 'Joji', 'Jackson Wang']",2019-10-11,167080,61,0.0123,0.701,0.663,0.131,100.001,0.334
19,Window,In Tongues (Deluxe),Joji,['Joji'],2018-02-14,152375,63,0.425,0.643,0.329,0.0958,156.959,0.202
20,Afterthought,Nectar,Joji,"['Joji', 'BENEE']",2020-09-25,194871,68,0.398,0.668,0.547,0.0931,83.5,0.192
21,WANTED U,BALLADS 1,Joji,['Joji'],2018-10-26,251015,70,0.105,0.305,0.715,0.0906,82.977,0.29
22,Breathe,Head In The Clouds II,88rising,"['88rising', 'Joji', 'Don Krez']",2019-10-11,125468,58,0.588,0.538,0.52,0.301,113.081,0.0775
23,Pills,In Tongues (Deluxe),Joji,['Joji'],2018-02-14,187133,61,0.582,0.454,0.407,0.117,81.401,0.242
24,Gimme Love,Nectar,Joji,['Joji'],2020-09-25,214557,69,0.695,0.484,0.632,0.209,126.384,0.0736
25,Thinking Bout You,Xeno,rei brown,"['rei brown', 'Joji']",2022-07-08,190946,57,0.536,0.67,0.711,0.242,163.998,0.509
26,From You,Fragments,Bonobo,"['Bonobo', 'Joji']",2022-01-14,210280,56,0.569,0.655,0.499,0.111,140.022,0.255
27,Introvert (feat. Joji),Amen,Rich Brian,"['Rich Brian', 'Joji']",2018-02-02,222258,60,0.14,0.836,0.686,0.0681,110.029,0.632
28,La Cienega,Head In The Clouds,88rising,"['88rising', 'Joji', 'NIKI']",2018-07-20,192606,59,0.506,0.61,0.318,0.102,109.491,0.214
29,Besidju,Besidju,shamana,"['shamana', 'Joji']",2016-11-11,107441,55,0.635,0.747,0.413,0.123,105.053,0.221
30,Gates to the Sun (POLLEN Singles),Gates to the Sun (POLLEN Singles),SahBabii,"['SahBabii', 'Joji']",2020-09-16,135748,57,0.386,0.717,0.459,0.143,143.948,0.373
31,Think About U (feat. Joji),Elsewhere,Ryan Hemsworth,"['Ryan Hemsworth', 'Joji']",2018-09-21,168974,55,0.859,0.324,0.353,0.262,121.788,0.0569
32,Peach Jam,Head In The Clouds,88rising,"['88rising', 'Joji', 'BlocBoy JB']",2018-07-20,161713,56,0.0175,0.857,0.668,0.101,89.986,0.624
33,Where Does The Time Go (feat. Joji),The Sailor,Rich Brian,"['Rich Brian', 'Joji']",2019-07-26,251288,54,0.184,0.642,0.553,0.112,139.925,0.129
