,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,I Love You 3000,I Love You 3000,Stephanie Poetri,['Stephanie Poetri'],2019-06-03,209734,68,0.911,0.648,0.382,0.393,90.099,0.408
1,I Love You 3000 II,Head In The Clouds II,88rising,"['88rising', 'Stephanie Poetri', 'Jackson Wang']",2019-10-11,209642,63,0.853,0.435,0.338,0.412,179.727,0.354
2,Bad Haircut (feat. JVKE),oh to be in love,Stephanie Poetri,"['Stephanie Poetri', 'JVKE']",2022-03-18,222167,53,0.85,0.629,0.43,0.117,76.983,0.451
3,Do You Love Me,Do You Love Me,Stephanie Poetri,['Stephanie Poetri'],2020-02-14,144383,48,0.691,0.691,0.572,0.168,102.018,0.697
4,Breakfast in Bed,Breakfast in Bed,Stephanie Poetri,"['Stephanie Poetri', 'gnash']",2022-10-28,163642,47,0.851,0.768,0.501,0.17,120.129,0.828
5,Picture Myself,Picture Myself,Stephanie Poetri,['Stephanie Poetri'],2022-01-13,211337,41,0.948,0.674,0.343,0.124,146.019,0.292
6,Bimbang,Bimbang,Goodbye Felicia,"['Goodbye Felicia', 'Stephanie Poetri']",2015-12-15,203533,43,0.125,0.455,0.619,0.101,86.396,0.47
7,Selfish,Selfish,Stephanie Poetri,['Stephanie Poetri'],2020-12-01,146727,40,0.352,0.622,0.529,0.165,82.324,0.683
8,Honeymoon,oh to be in love,Stephanie Poetri,['Stephanie Poetri'],2022-03-18,189791,34,0.367,0.694,0.575,0.123,116.958,0.31
9,3PM,AM:PM,Stephanie Poetri,['Stephanie Poetri'],2021-03-12,196256,32,0.69,0.698,0.44,0.134,80.067,0.586
10,Touch,Do You Love Me,Stephanie Poetri,['Stephanie Poetri'],2020-02-14,174005,34,0.506,0.839,0.342,0.101,92.455,0.715
11,Straight To You,Straight To You,Stephanie Poetri,['Stephanie Poetri'],2020-04-24,165141,34,0.149,0.66,0.642,0.0747,90.014,0.401
12,Please Don't Die Before I Do,oh to be in love,Stephanie Poetri,['Stephanie Poetri'],2022-03-18,128466,28,0.787,0.42,0.216,0.0798,81.613,0.437
13,IRL,IRL,Stephanie Poetri,['Stephanie Poetri'],2021-02-11,198709,29,0.436,0.661,0.661,0.0896,93.043,0.548
14,Matamu - Acoustic,AM:PM (Acoustic),Stephanie Poetri,['Stephanie Poetri'],2021-09-28,225440,29,0.776,0.627,0.373,0.147,114.908,0.558
15,How We Used To,How We Used To,Stephanie Poetri,['Stephanie Poetri'],2021-01-14,169655,29,0.741,0.721,0.49,0.108,75.005,0.502
16,Little Lifetimes,oh to be in love,Stephanie Poetri,['Stephanie Poetri'],2022-03-18,158769,28,0.759,0.352,0.35,0.113,91.525,0.376
17,Appreciate - English Version,Appreciate (English Version),Stephanie Poetri,['Stephanie Poetri'],2019-04-19,235627,30,0.174,0.664,0.831,0.123,119.991,0.388
18,Daydreaming,AM:PM,Stephanie Poetri,['Stephanie Poetri'],2021-03-12,170181,23,0.823,0.758,0.584,0.18,109.949,0.631
19,Paranoia,AM:PM,Stephanie Poetri,['Stephanie Poetri'],2021-03-12,176080,24,0.348,0.614,0.42,0.212,150.054,0.336
