,song name,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
0,Glimpse of Us,Glimpse of Us,Joji,93,Joji,2022-06-10,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,4.78e-06,0.141,0.268,169.914,233456,3,This Is Joji
1,SLOW DANCING IN THE DARK,BALLADS 1,Joji,84,Joji,2018-10-26,0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.00598,0.191,0.284,88.964,209274,4,This Is Joji
2,YUKON (INTERLUDE),YUKON (INTERLUDE),Joji,76,Joji,2022-08-26,6c1yUgFlhUHLAM9hSDkVBq,0.736,0.71,6,-8.497,0,0.091,0.0351,0.395,0.0728,82.482,141093,4,This Is Joji
3,worldstar money (interlude),In Tongues (Deluxe),Joji,78,Joji,2018-02-14,0baNzeUcPQnQSagpe8T0mD,0.577,0.387,7,-8.607,1,0.274,0.705,0.208,0.459,146.565,126312,1,This Is Joji
4,Sanctuary,Nectar,Joji,75,Joji,2020-09-24,5F1ZmucV0uJY14y2dYKePa,0.552,0.638,1,-7.474,1,0.11,0.00014,0.374,0.332,167.834,180019,4,This Is Joji
5,YEAH RIGHT,BALLADS 1,Joji,79,Joji,2018-10-26,1VGzxJnVQND7Cg5H5wGj14,0.672,0.588,1,-9.573,1,0.133,0.241,0.0992,0.204,169.033,174358,4,This Is Joji
6,Daylight,Daylight,Joji,71,Diplo,2020-08-06,6Ed1q0X8oSKSm4IIhiQbYg,0.528,0.749,7,-7.571,1,0.0479,9.6e-05,0.0949,0.729,163.944,163906,4,This Is Joji
7,Will He,In Tongues (Deluxe),Joji,73,Joji,2018-02-14,7wvwXi9Z66dcH5t202vVkN,0.618,0.217,10,-15.372,1,0.0515,0.000163,0.538,0.0872,116.014,202103,4,This Is Joji
8,Like You Do,Nectar,Joji,72,Joji,2020-09-25,1MONUudxAjEk76FJvzGhuD,0.582,0.199,10,-10.045,1,0.0321,0.00852,0.135,0.0783,66.454,240294,4,This Is Joji
9,CAN'T GET OVER YOU (feat. Clams Casino),BALLADS 1,Joji,70,Clams Casino,2018-10-26,39oeKRgsLeynDIbWuXyA47,0.9,0.316,9,-8.797,1,0.332,0.0771,0.0853,0.844,129.914,107077,4,This Is Joji
