,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,The Weekend,The Weekend,88rising,2021-10-14,167661,69,0.062,0.784,0.521,0.0995,101.491,0.817
1,LAW (Prod. Czaer),Street Man Fighter Original Vol.3 (Mission by Rank),Various Artists,2022-09-06,189373,71,0.00857,0.756,0.9,0.237,128.054,0.55
2,Best Lover,Head In The Clouds Forever,88rising,2022-04-16,152910,66,0.268,0.74,0.663,0.121,82.004,0.519
3,Animal Farm,Animal Farm,BIBI,2022-09-27,203945,69,0.0178,0.617,0.57,0.55,107.971,0.375
4,KAZINO,KAZINO,BIBI,2020-04-29,185946,65,0.139,0.625,0.686,0.11,133.041,0.263
5,BAD SAD AND MAD,Life is a Bi…,BIBI,2021-04-28,154988,64,0.545,0.746,0.558,0.0904,90.013,0.638
6,"Very, Slowly",Twenty-Five Twenty-One OST Part 3,BIBI,2022-02-20,214851,60,0.678,0.528,0.423,0.167,135.917,0.249
7,MotoSpeed 24,Sweet Sorrow of Mother,BIBI,2022-10-24,133904,55,0.319,0.61,0.597,0.136,95.004,0.295
8,Restless,LISTEN 035 Restless,BIBI,2020-02-02,267080,60,0.382,0.575,0.607,0.115,89.985,0.298
9,Maybe if,"Our Beloved Summer (Original Television Soundtrack), Pt. 2",BIBI,2021-12-13,209600,58,0.699,0.593,0.437,0.0919,121.662,0.484
10,Life is a Bi…,Life is a Bi…,BIBI,2021-04-28,156741,59,0.255,0.722,0.501,0.0857,144.076,0.541
11,PADO,PADO,BIBI,2021-09-10,193132,55,0.0443,0.69,0.784,0.152,120.101,0.642
12,BINU,BINU,BIBI,2019-05-15,182200,55,0.719,0.842,0.522,0.191,119.045,0.641
13,Dingo X BIBI - she got it,Dingo X BIBI - she got it,BIBI,2020-08-06,215736,54,0.139,0.757,0.687,0.115,99.992,0.583
14,Sweet Sorrow of Mother,Sweet Sorrow of Mother,BIBI,2022-10-24,66429,51,0.901,0.736,0.148,0.13,148.101,0.863
15,Never Gonna Come Down,Shang-Chi and The Legend of The Ten Rings: The Album,88rising,2021-09-03,203800,51,0.656,0.777,0.689,0.062,150.036,0.873
16,Umm… Life,Life is a Bi…,BIBI,2021-04-28,131209,50,0.681,0.809,0.427,0.0979,104.032,0.127
17,Crazy Like You (feat. BIBI),"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,175480,50,0.0957,0.536,0.639,0.209,170.94,0.502
18,Step?,Step?,BIBI,2019-11-28,191666,50,0.55,0.644,0.517,0.0876,160.048,0.212
19,AUTOMATIC,AUTOMATIC,Various Artists,2020-10-14,268293,51,0.133,0.72,0.703,0.121,99.999,0.492
20,Eat My Love,Eat My Love,BIBI,2021-02-01,162866,48,0.446,0.833,0.743,0.104,119.981,0.802
21,PIRI the dog,Life is a Bi…,BIBI,2021-04-28,140826,47,0.276,0.872,0.466,0.126,138.039,0.348
22,NABI,The Manual for people who want to love,BIBI,2019-06-12,193429,47,0.735,0.535,0.787,0.074,184.003,0.777
