,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,When I Get Old,When I Get Old,Christopher,2022-10-20,184732,63,0.257,0.723,0.641,0.203,127.418,0.658
1,Sparkling,"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,186906,60,0.166,0.6,0.923,0.32,160.025,0.712
2,XXXX,"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,168000,48,0.0923,0.741,0.662,0.306,109.953,0.713
3,Louder,"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,179760,40,0.113,0.843,0.75,0.0275,109.886,0.835
4,Crazy Like You (feat. BIBI),"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,175480,50,0.0957,0.536,0.639,0.209,170.94,0.502
5,California Dream,"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,179226,45,0.0747,0.769,0.803,0.0832,119.923,0.503
6,Good Night My Princess,"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,232080,41,0.522,0.446,0.475,0.0859,139.267,0.112
7,Love Me Out Loud,"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,204760,44,0.00731,0.397,0.697,0.198,120.926,0.414
8,Nuh-Uh,"Bare&Rare, Pt. 1",CHUNG HA,2022-07-11,200880,41,0.513,0.502,0.692,0.174,154.301,0.608
9,A Star in the dawn,"Bloody Heart, Pt. 4 (Original Television Soundtrack)",CHUNG HA,2022-05-23,213920,32,0.812,0.42,0.428,0.089,144.236,0.261
10,It's only mine,Seoul Check-in OST Part 4,CHUNG HA,2022-04-30,211082,27,0.742,0.654,0.575,0.118,89.984,0.441
11,Killing Me,Killing Me,CHUNG HA,2021-11-29,164053,62,0.35,0.722,0.851,0.0661,122.012,0.763
12,BAD GIRL (Prod. Czaer),Street Woman Fighter(SWF) Special,Various Artists,2021-10-27,194053,42,0.0815,0.725,0.729,0.107,92.0,0.829
13,Someday,"One the Woman (Original Television Soundtrack, Pt. 3)",CHUNG HA,2021-10-15,202040,28,0.665,0.614,0.482,0.111,131.995,0.27
14,Bicycle,Querencia,CHUNG HA,2021-02-15,179156,59,0.006,0.625,0.903,0.235,145.97,0.825
15,X,Querencia,CHUNG HA,2021-02-15,255496,43,0.351,0.413,0.868,0.498,137.936,0.396
16,Stay Tonight,Querencia,CHUNG HA,2021-02-15,217238,56,0.199,0.625,0.831,0.0805,121.029,0.513
17,Masquerade,Querencia,CHUNG HA,2021-02-15,197011,42,0.0261,0.645,0.844,0.0767,143.957,0.731
18,Flying on Faith,Querencia,CHUNG HA,2021-02-15,186701,45,0.222,0.692,0.818,0.0999,150.04,0.675
19,Luce Sicut Stellae,Querencia,CHUNG HA,2021-02-15,191805,34,0.228,0.677,0.885,0.127,95.985,0.565
20,My Lips Like Warm Coffee,My Lips Like Warm Coffee,CHUNG HA,2021-06-08,214120,44,0.74,0.692,0.71,0.117,88.052,0.245
21,Demente - Spanish Version,Demente (Spanish Version),CHUNG HA,2021-03-17,163799,45,0.0404,0.802,0.852,0.0539,100.029,0.685
22,PLAY (feat. Changmo),Querencia,CHUNG HA,2021-02-15,199524,56,0.171,0.636,0.941,0.152,103.926,0.888
23,Bother Me,Querencia,CHUNG HA,2021-02-15,202731,46,0.0242,0.658,0.863,0.303,114.934,0.497
24,Chill,Querencia,CHUNG HA,2021-02-15,206347,35,0.0521,0.514,0.893,0.253,179.969,0.746
25,Demente (feat. Guaynaa),Querencia,CHUNG HA,2021-02-15,163799,46,0.0398,0.802,0.851,0.0618,100.019,0.697
26,Lemon (feat. Colde),Querencia,CHUNG HA,2021-02-15,202445,35,0.0981,0.736,0.927,0.261,97.046,0.786
27,BYULHARANG (160504 + 170607),Querencia,CHUNG HA,2021-02-15,223101,31,0.557,0.446,0.645,0.118,173.92,0.525
