,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,New Tooth,New Tooth,Rich Brian,2021-11-04,220000,50,0.631,0.788,0.678,0.141,120.019,0.39
1,Run It (feat. Rick Ross & Rich Brian),Shang-Chi and The Legend of The Ten Rings: The Album,88rising,2021-09-03,163373,68,0.0195,0.688,0.725,0.0726,104.006,0.225
2,Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei),Shang-Chi and The Legend of The Ten Rings: The Album,88rising,2021-09-03,279960,51,0.0428,0.766,0.825,0.102,155.967,0.646
3,edamame (feat. Rich Brian),edamame (feat. Rich Brian),bbno$,2021-07-24,133706,75,0.023,0.815,0.848,0.0265,106.032,0.684
4,Sydney,Sydney,Rich Brian,2021-03-16,194240,46,0.475,0.62,0.476,0.135,161.168,0.602
5,DOA,1999,Rich Brian,2020-08-24,161162,45,0.227,0.603,0.611,0.109,86.001,0.317
6,Don't Care,Don't Care,Rich Brian,2020-08-18,164571,43,0.18,0.642,0.569,0.105,140.095,0.194
7,Love In My Pocket,Love In My Pocket,Rich Brian,2020-07-09,223093,41,0.0206,0.829,0.597,0.11,113.011,0.782
8,BALI,BALI,Rich Brian,2020-04-09,199384,39,0.00983,0.864,0.642,0.22,129.995,0.622
9,TITANIC (feat. Rich Brian),MIRRORS,Jackson Wang,2019-10-25,141146,54,0.0463,0.894,0.748,0.057,99.983,0.697
10,2 The Face,Head In The Clouds II,88rising,2019-10-11,151531,42,0.168,0.649,0.684,0.141,171.994,0.342
11,Dat $tick,Dat $tick,Rich Brian,2016-03-11,126666,62,0.104,0.923,0.508,0.126,108.039,0.168
12,Hopscotch (feat. Barney Bones & Rich Brian),Head In The Clouds II,88rising,2019-10-11,205786,43,0.0695,0.905,0.609,0.153,85.04,0.447
13,These Nights,Head In The Clouds II,88rising,2019-10-11,223006,48,0.000317,0.656,0.673,0.28,83.018,0.494
14,Glow Like Dat,Glow Like Dat,Rich Brian,2017-08-15,210861,50,0.411,0.787,0.586,0.118,140.036,0.581
15,Rapapapa (feat. RZA),The Sailor,Rich Brian,2019-07-26,247165,50,0.501,0.782,0.752,0.114,126.936,0.504
16,Gold Coast,Head In The Clouds II,88rising,2019-10-11,241846,44,0.132,0.577,0.649,0.339,129.97,0.266
17,Drive Safe,The Sailor,Rich Brian,2019-07-26,240118,61,0.635,0.635,0.312,0.138,98.017,0.414
18,The Sailor,The Sailor,Rich Brian,2019-07-26,220833,46,0.11,0.455,0.566,0.696,119.935,0.393
19,Yellow (feat. Bekon),The Sailor,Rich Brian,2019-07-26,291869,48,0.217,0.447,0.53,0.351,75.917,0.0621
20,100 Degrees,The Sailor,Rich Brian,2019-07-26,166145,59,0.118,0.756,0.648,0.515,80.979,0.657
21,Who That Be,Who That Be,Rich Brian,2016-08-09,134879,47,0.358,0.959,0.47,0.0806,129.995,0.964
22,Kids,The Sailor,Rich Brian,2019-07-26,270130,46,0.0596,0.635,0.694,0.141,85.809,0.398
23,Attention (feat. Offset),Amen,Rich Brian,2018-02-02,170200,50,0.0438,0.884,0.547,0.124,158.019,0.425
24,Slow Down Turbo,The Sailor,Rich Brian,2019-07-26,239714,46,0.215,0.389,0.518,0.182,78.114,0.0392
25,Confetti,The Sailor,Rich Brian,2019-07-26,172023,42,0.127,0.77,0.762,0.0809,141.052,0.326
26,Curious,The Sailor,Rich Brian,2019-07-26,225498,49,0.904,0.817,0.433,0.106,111.059,0.9
27,Vacant,The Sailor,Rich Brian,2019-07-26,152520,42,0.74,0.573,0.483,0.266,192.101,0.301
28,No Worries,The Sailor,Rich Brian,2019-07-26,163353,42,0.715,0.563,0.58,0.134,79.194,0.14
29,Introvert (feat. Joji),Amen,Rich Brian,2018-02-02,222258,60,0.14,0.836,0.686,0.0681,110.029,0.632
30,Cold,Amen,Rich Brian,2018-02-02,228432,52,0.368,0.648,0.734,0.0938,167.044,0.196
31,Gospel,Gospel,Rich Brian,2017-05-12,173294,64,0.000856,0.681,0.659,0.11,156.004,0.225
32,Where Does The Time Go (feat. Joji),The Sailor,Rich Brian,2019-07-26,251288,54,0.184,0.642,0.553,0.112,139.925,0.129
33,Seventeen,Seventeen,Rich Brian,2016-12-21,163931,40,0.417,0.8,0.392,0.448,144.999,0.285
34,watch out!,watch out!,Rich Brian,2018-04-04,156000,40,0.0166,0.865,0.686,0.327,160.019,0.385
35,Crisis (feat. 21 Savage),Crisis (feat. 21 Savage),Rich Brian,2017-11-10,216189,45,0.0725,0.898,0.671,0.119,144.989,0.668
36,Chaos,Chaos,Rich Brian,2017-10-05,132038,42,0.0115,0.809,0.581,0.345,149.949,0.369
37,Trespass,Amen,Rich Brian,2018-02-02,179181,42,0.0431,0.823,0.798,0.404,140.062,0.384
38,Little Prince (feat. NIKI),Amen,Rich Brian,2018-02-02,172444,49,0.166,0.909,0.414,0.109,139.963,0.761
39,See Me,Amen,Rich Brian,2018-02-02,212472,46,0.669,0.854,0.578,0.0844,137.025,0.306
40,Amen,Amen,Rich Brian,2018-02-02,116709,44,0.35,0.918,0.684,0.0907,140.077,0.774
41,18,18,Various Artists,2018-01-16,254507,46,0.183,0.632,0.629,0.344,179.882,0.207
42,Flight,Amen,Rich Brian,2018-02-02,177463,43,0.111,0.77,0.564,0.103,97.35,0.348
43,Occupied,Amen,Rich Brian,2018-02-02,161804,42,0.441,0.819,0.823,0.0676,82.5,0.805
44,Arizona (feat. AUGUST 08),Amen,Rich Brian,2018-02-02,292381,43,0.695,0.651,0.526,0.386,95.049,0.509
