,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,258298,93,0.08,0.647,0.686,0.528,79.928,0.268
1,Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,230400,87,0.356,0.564,0.903,0.175,78.293,0.607
2,Yonaguni,Yonaguni,Bad Bunny,2021-06-04,206710,86,0.276,0.644,0.648,0.135,179.951,0.44
3,DÁKITI,DÁKITI,Bad Bunny,2020-10-30,205090,82,0.401,0.731,0.573,0.113,109.928,0.145
4,Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,227628,89,0.0151,0.829,0.799,0.242,97.013,0.471
5,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,178567,96,0.0901,0.911,0.712,0.0933,92.005,0.425
6,Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,245939,92,0.294,0.804,0.674,0.115,99.968,0.292
7,Vete,Vete,Bad Bunny,2019-11-21,192024,78,0.0363,0.886,0.672,0.101,91.976,0.526
8,La Santa,YHLQMDLG,Bad Bunny,2020-02-29,206420,83,0.0326,0.744,0.868,0.0822,93.037,0.586
9,La Corriente,Un Verano Sin Ti,Bad Bunny,2022-05-06,198367,88,0.229,0.663,0.786,0.219,196.12,0.579
10,LA CANCIÓN,OASIS,J Balvin,2019-06-28,242573,88,0.152,0.754,0.646,0.108,176.089,0.429
11,Si Veo a Tu Mamá,YHLQMDLG,Bad Bunny,2020-02-29,170971,81,0.402,0.9,0.603,0.134,129.928,0.824
12,Callaita,Callaita,Bad Bunny,2019-05-31,250533,79,0.6,0.61,0.624,0.243,176.169,0.244
13,Tarot,Un Verano Sin Ti,Bad Bunny,2022-05-06,237894,89,0.0225,0.795,0.684,0.658,114.011,0.419
14,No Me Conoce - Remix,No Me Conoce (Remix),Jhay Cortez,2019-05-17,307546,75,0.144,0.794,0.79,0.0893,91.984,0.577
15,Si Estuviésemos Juntos,X 100PRE,Bad Bunny,2018-12-23,169247,82,0.0626,0.672,0.594,0.152,171.854,0.158
16,Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,173119,92,0.0706,0.876,0.498,0.143,122.016,0.428
17,A Tu Merced,YHLQMDLG,Bad Bunny,2020-02-29,175918,82,0.169,0.86,0.791,0.106,92.023,0.887
18,TE MUDASTE,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,2020-11-27,130013,80,0.234,0.811,0.637,0.118,92.025,0.471
19,Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,213061,94,0.141,0.801,0.475,0.0639,98.047,0.234
20,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05,207301,86,0.0889,0.639,0.703,0.0865,169.888,0.138
21,La Difícil,YHLQMDLG,Bad Bunny,2020-02-29,163084,79,0.0861,0.685,0.848,0.0783,179.87,0.761
22,MIA (feat. Drake),MIA (feat. Drake),Bad Bunny,2018-10-11,210367,78,0.0141,0.817,0.539,0.099,97.062,0.158
23,Te Boté - Remix,Te Boté (Remix),Nio Garcia,2018-04-13,417920,77,0.542,0.903,0.675,0.0595,96.507,0.442
24,Solita,Solita,Ozuna,2018-01-19,311726,77,0.0564,0.807,0.633,0.107,138.038,0.325
25,CÓMO SE SIENTE - Remix,CÓMO SE SIENTE (Remix),Jhayco,2020-05-09,227520,81,0.0946,0.807,0.606,0.119,92.988,0.304
26,Bichiyal,YHLQMDLG,Bad Bunny,2020-02-29,196500,77,0.31,0.737,0.766,0.114,93.956,0.662
27,Diles,Diles,Bad Bunny,2016-08-26,286040,82,0.108,0.813,0.56,0.268,118.033,0.287
28,Safaera,YHLQMDLG,Bad Bunny,2020-02-29,295176,79,0.0103,0.607,0.829,0.107,96.172,0.685
29,El Apagón,Un Verano Sin Ti,Bad Bunny,2022-05-06,201816,81,0.0509,0.629,0.698,0.0909,117.765,0.599
