,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,Ghost,Justice,Justin Bieber,2021-03-19,153190,78,0.178,0.604,0.741,0.409,153.947,0.473
1,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,87,0.0383,0.591,0.764,0.103,169.928,0.478
2,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,81,0.0797,0.654,0.76,0.299,99.945,0.41
3,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,76,0.3,0.806,0.546,0.102,147.986,0.874
4,What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,77,0.59,0.845,0.567,0.0811,125.02,0.793
5,Hold On,Hold On,Justin Bieber,2021-03-05,170813,74,0.0106,0.658,0.634,0.132,139.98,0.29
6,Let Me Love You,Encore,DJ Snake,2016-08-05,205946,83,0.0863,0.649,0.716,0.135,99.988,0.163
7,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,84,0.321,0.677,0.696,0.42,90.03,0.464
8,Beautiful Love - Free Fire,Beautiful Love (Free Fire),Justin Bieber,2022-08-30,207837,74,0.0568,0.789,0.602,0.108,111.022,0.525
9,Cold Water,Cold Water,Major Lazer,2016-07-22,185360,67,0.0736,0.608,0.798,0.156,92.943,0.501
10,Honest (feat. Don Toliver),Honest,Justin Bieber,2022-04-29,193322,73,0.127,0.81,0.655,0.105,150.002,0.809
11,Baby,My World 2.0,Justin Bieber,2010-01-01,214240,81,0.0401,0.728,0.859,0.111,65.043,0.535
12,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,83,0.835,0.609,0.378,0.28,100.418,0.515
13,Holy (feat. Chance The Rapper),Holy,Justin Bieber,2020-09-18,212093,73,0.196,0.673,0.704,0.0898,86.919,0.372
14,Yummy,Changes,Justin Bieber,2020-02-14,208520,69,0.345,0.676,0.506,0.118,145.842,0.497
15,Red Eye (feat. TroyBoi),Justice (The Complete Edition),Justin Bieber,2021-10-08,187452,67,0.0501,0.815,0.816,0.0761,96.033,0.774
16,Boyfriend,Believe,Justin Bieber,2012-01-01,171333,73,0.0358,0.717,0.55,0.126,96.976,0.332
17,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,2020-10-16,149297,73,0.864,0.631,0.239,0.116,79.859,0.0927
18,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,2017-06-22,288876,63,0.0533,0.599,0.667,0.134,80.984,0.817
19,Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Jack Ü,2015-02-24,250285,73,0.041,0.432,0.781,0.0789,139.432,0.197
20,Off My Face,Justice,Justin Bieber,2021-03-19,156467,76,0.92,0.509,0.228,0.104,90.674,0.586
21,Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,2017-04-17,228826,71,0.228,0.653,0.816,0.0967,178.085,0.816
22,As Long As You Love Me,Believe (Deluxe Edition),Justin Bieber,2012-06-15,229466,67,0.0811,0.571,0.873,0.361,139.691,0.613
23,Beauty And A Beat,Believe (Deluxe Edition),Justin Bieber,2012-06-15,227986,74,0.000688,0.602,0.843,0.0682,128.003,0.526
24,Anyone,Anyone,Justin Bieber,2021-01-01,190779,74,0.181,0.686,0.538,0.113,115.884,0.584
25,Company,Purpose (Deluxe),Justin Bieber,2015-11-13,208120,70,0.132,0.59,0.797,0.0846,94.948,0.425
26,As I Am (feat. Khalid),Justice,Justin Bieber,2021-03-19,174406,62,0.131,0.608,0.547,0.0974,99.947,0.108
27,2U,2U,David Guetta,2017-06-09,194906,61,0.225,0.551,0.651,0.224,144.875,0.562
28,Never Say Never,Never Say Never - The Remixes,Justin Bieber,2011-01-01,227853,72,0.0181,0.739,0.807,0.295,97.048,0.632
29,There She Go (feat. Lil Uzi Vert),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,215019,56,0.00968,0.727,0.716,0.12,150.071,0.911
30,attention,attention,Omah Lay,2022-03-03,180563,67,0.172,0.817,0.72,0.109,119.989,0.384
31,Hailey,Justice (The Complete Edition),Justin Bieber,2021-10-08,193354,69,0.0367,0.462,0.745,0.0795,100.042,0.254
