,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,2022-10-28,196519,87,0.899,0.247,0.299,0.131,177.115,0.172
1,Kiss It Better,ANTI (Deluxe),Rihanna,2016-01-28,253080,76,0.272,0.619,0.806,0.0671,95.0,0.877
2,Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,275986,82,0.00864,0.583,0.829,0.0426,174.028,0.575
3,We Found Love,Talk That Talk,Rihanna,2011-11-18,215226,77,0.025,0.734,0.766,0.108,127.986,0.6
4,Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,267080,79,0.0336,0.835,0.669,0.0535,122.668,0.542
5,Where Have You Been,Talk That Talk,Rihanna,2011-11-18,242680,72,0.00201,0.719,0.847,0.221,127.963,0.444
6,Love On The Brain,ANTI (Deluxe),Rihanna,2016-01-28,224000,83,0.0717,0.509,0.637,0.0789,172.006,0.378
7,Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,238626,81,0.0863,0.707,0.813,0.168,124.921,0.722
8,Love The Way You Lie,Recovery,Eminem,2010-06-18,263373,82,0.241,0.749,0.925,0.52,86.989,0.641
9,This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,222160,81,0.199,0.631,0.927,0.148,123.962,0.465
10,Needed Me,ANTI (Deluxe),Rihanna,2016-01-28,191600,81,0.11,0.671,0.314,0.0825,110.898,0.296
11,Stay,Unapologetic (Deluxe),Rihanna,2012-12-11,240706,78,0.945,0.621,0.31,0.117,111.893,0.125
12,Take A Bow,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,229413,76,0.248,0.697,0.467,0.0941,82.082,0.572
13,FourFiveSeconds,FourFiveSeconds,Rihanna,2015-01-24,188238,77,0.875,0.582,0.272,0.13,205.846,0.354
14,Woo,ANTI (Deluxe),Rihanna,2016-01-28,235586,78,0.0546,0.42,0.466,0.298,115.004,0.185
15,Pon de Replay,Music Of The Sun,Rihanna,2005-08-29,246960,79,0.000155,0.779,0.64,0.101,99.019,0.498
16,Only Girl (In The World),Loud (Japan Version),Rihanna,2010-01-01,235493,78,0.112,0.789,0.706,0.0586,125.911,0.638
17,The Monster,The Marshall Mathers LP2,Eminem,2013-11-05,250188,77,0.0525,0.781,0.853,0.12,110.049,0.624
18,Diamonds,Unapologetic (Deluxe),Rihanna,2012-12-11,225146,75,0.00125,0.564,0.71,0.109,91.972,0.393
19,Run This Town,The Blueprint 3,JAY-Z,2009-09-08,267520,77,0.281,0.632,0.924,0.263,86.844,0.441
20,S&M,Loud (Japan Version),Rihanna,2010-01-01,243600,77,0.0105,0.769,0.684,0.0887,127.972,0.835
21,Take Care,Take Care (Deluxe),Drake,2011-11-15,277386,75,0.0267,0.629,0.515,0.0888,121.845,0.299
22,Work,ANTI (Deluxe),Rihanna,2016-01-28,219320,75,0.0752,0.725,0.534,0.0919,91.974,0.558
23,Can't Remember to Forget You (feat. Rihanna),Shakira. (Expanded Edition),Shakira,2014-03-14,206866,73,0.122,0.694,0.81,0.141,137.968,0.824
24,Rude Boy,Rated R,Rihanna,2009-11-20,222920,75,0.113,0.563,0.75,0.0788,173.906,0.812
25,LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,2017-04-14,227360,73,0.0265,0.658,0.535,0.2,110.684,0.419
26,Consideration,ANTI (Deluxe),Rihanna,2016-01-28,161066,71,0.0392,0.883,0.584,0.0869,144.975,0.784
27,Princess of China,Mylo Xyloto,Coldplay,2011-10-24,239215,70,0.00385,0.42,0.69,0.287,85.014,0.237
28,SOS,A Girl Like Me,Rihanna,2006-04-10,238920,74,0.004,0.677,0.671,0.413,137.046,0.527
29,Too Good,Views,Drake,2016-05-06,263373,74,0.0489,0.794,0.653,0.1,117.996,0.397
30,Desperado,ANTI (Deluxe),Rihanna,2016-01-28,186466,72,0.323,0.685,0.61,0.102,94.384,0.323
31,Hate That I Love You,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,218946,69,0.323,0.637,0.73,0.0981,93.867,0.732
32,Bitch Better Have My Money,Bitch Better Have My Money,Rihanna,2015-03-26,219305,74,0.0509,0.781,0.728,0.257,102.99,0.395
33,Unfaithful,A Girl Like Me,Rihanna,2006-04-10,226973,71,0.839,0.588,0.391,0.227,144.069,0.349
34,Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,DJ Khaled,2017-06-22,204173,72,0.0329,0.671,0.672,0.118,97.979,0.632
35,Loveeeeeee Song,Unapologetic (Deluxe),Rihanna,2012-12-11,256320,71,0.508,0.71,0.598,0.0971,119.981,0.501
36,Live Your Life,Paper Trail,T.I.,2008-09-07,338853,74,0.071,0.375,0.862,0.211,159.841,0.478
37,What's My Name?,Loud (Japan Version),Rihanna,2010-01-01,263173,71,0.182,0.689,0.784,0.0843,99.954,0.561
38,BELIEVE IT,PARTYMOBILE,PARTYNEXTDOOR,2020-03-27,183219,70,0.0902,0.43,0.7,0.216,158.373,0.731
39,Te Amo,Rated R,Rihanna,2009-11-20,208426,69,0.541,0.567,0.707,0.1,171.917,0.751
40,You Da One,Talk That Talk,Rihanna,2011-11-19,200013,68,0.503,0.702,0.715,0.126,127.05,0.863
41,Shut Up And Drive,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,212280,69,0.00101,0.735,0.826,0.197,132.964,0.74
42,Man Down,Loud,Rihanna,2010-11-16,267000,68,0.0436,0.47,0.904,0.0491,155.788,0.557
43,Pour It Up,Unapologetic (Deluxe),Rihanna,2012-12-11,161200,68,0.0254,0.785,0.478,0.0901,134.002,0.39
44,"Dancing In The Dark - From The ""Home"" Soundtrack",Home (Original Motion Picture Soundtrack),Various Artists,2015-03-23,223040,64,0.177,0.795,0.75,0.0875,115.005,0.762
45,Rehab,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,294720,69,0.00321,0.583,0.792,0.315,80.055,0.397
46,Love The Way You Lie (Part II) - Pt. 2,Loud,Rihanna,2010-11-16,296226,66,0.3,0.469,0.833,0.056,166.526,0.402
47,California King Bed,Loud (Japan Version),Rihanna,2010-01-01,251600,64,0.25,0.452,0.571,0.114,169.899,0.327
48,Russian Roulette,Rated R,Rihanna,2009-11-20,227533,65,0.046,0.48,0.486,0.107,80.051,0.265
