,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,Lavender Haze,Midnights,Taylor Swift,2022-10-21,202395,91,0.258,0.733,0.436,0.157,96.985,0.0976
1,Maroon,Midnights,Taylor Swift,2022-10-21,218270,89,0.0573,0.637,0.398,0.101,108.075,0.0374
2,Anti-Hero,Midnights,Taylor Swift,2022-10-21,200690,95,0.13,0.637,0.643,0.142,97.008,0.533
3,Snow On The Beach (feat. Lana Del Rey),Midnights,Taylor Swift,2022-10-21,256124,90,0.69,0.663,0.319,0.117,109.957,0.193
4,"You're On Your Own, Kid",Midnights,Taylor Swift,2022-10-21,194206,89,0.401,0.696,0.396,0.125,120.041,0.38
5,Midnight Rain,Midnights,Taylor Swift,2022-10-21,174782,90,0.69,0.643,0.363,0.115,139.865,0.23
6,Question...?,Midnights,Taylor Swift,2022-10-21,210556,88,0.2,0.751,0.502,0.296,108.943,0.106
7,Vigilante Shit,Midnights,Taylor Swift,2022-10-21,164801,88,0.173,0.798,0.277,0.121,79.846,0.163
8,Bejeweled,Midnights,Taylor Swift,2022-10-21,194165,88,0.0618,0.696,0.559,0.0887,163.999,0.433
9,Labyrinth,Midnights,Taylor Swift,2022-10-21,247962,86,0.785,0.406,0.306,0.122,110.014,0.122
10,Karma,Midnights,Taylor Swift,2022-10-21,204852,88,0.0734,0.642,0.62,0.483,90.02,0.0969
11,Sweet Nothing,Midnights,Taylor Swift,2022-10-21,188496,86,0.964,0.337,0.156,0.115,176.655,0.39
12,Mastermind,Midnights,Taylor Swift,2022-10-21,191039,86,0.553,0.662,0.357,0.0837,125.966,0.124
13,The Great War,Midnights (3am Edition),Taylor Swift,2022-10-22,240355,86,0.219,0.573,0.741,0.0842,96.016,0.554
14,Bigger Than The Whole Sky,Midnights (3am Edition),Taylor Swift,2022-10-22,218502,86,0.826,0.422,0.235,0.115,165.71,0.068
15,Paris,Midnights (3am Edition),Taylor Swift,2022-10-22,196258,85,0.112,0.7,0.509,0.137,110.947,0.345
